969,0 23,5538812062 3,1798706966 42,1548580431 0,0292001 0,425698 0,412705 0,426554 S
0,0 22,9019546193 2,78838772266 57,3732575144 0,0292377 0,425724 0,412724 0,426577 N
117,0 23,8112498005 2,54768389178 127,285351462 0,0292377 0,425724 0,412724 0,426577 S
200,0 24,2692530447 3,19984976916 204,120769986 0,0292377 0,425724 0,412724 0,426577 S
300,0 23,211081659 3,4245117676 183,32680109 0,0292377 0,425724 0,412724 0,426577 S
402,0 23,4882802747 3,16718962946 128,0 0,0292377 0,425724 0,412724 0,426577 S
502,0 24,2483753572 2,78899094364 123,285626988 0,0292377 0,425724 0,412724 0,426577 S
645,0 22,7409872349 2,93839770072 128,0 0,0292377 0,425724 0,412724 0,426577 S
701,0 23,0880192402 2,84583048478 113,799901866 0,0292377 0,425724 0,412724 0,426577 S
822,0 23,8074348397 3,34081171288 109,25935962 0,0292377 0,425724 0,412724 0,426577 S
97,0 23,6970497564 2,59035955008 25,5610737092 0,0314603 0,420266 0,408046 0,421692 N
145,0 17,0199298161 2,66381744547 54,6437033238 0,0318866 0,421223 0,40784 0,422096 N
301,0 17,4204298497 3,39745628738 97,0726154834 0,0318866 0,421223 0,40784 0,422096 S
410,0 17,4849594707 2,81120156082 115,2 0,0318866 0,421223 0,40784 0,422096 S
661,0 16,5177870799 3,39423112201 100,79910588 0,0318866 0,421223 0,40784 0,422096 S
890,0 17,1967005118 3,42887697359 65,5006797167 0,0318866 0,421223 0,40784 0,422096 S
984,0 17,1080033428 2,74339758855 51,3893171524 0,0318866 0,421223 0,40784 0,422096 S
749,0 17,3831543752 2,93006136449 38,9842134068 0,0320358 0,420787 0,407453 0,421684 S
264,0 17,4584502357 3,18476806654 42,5351753326 0,0320687 0,421165 0,407786 0,422038 N
597,0 15,2066741172 3,04166952281 37,8604544159 0,0324335 0,418419 0,405284 0,41951 N
95,0 16,7543897237 2,72191098156 27,3747341617 0,0327239 0,417424 0,404622 0,418723 N
384,0 14,7799049422 2,74998848944 34,674710421 0,0327873 0,417622 0,404595 0,418776 N
496,0 14,56967474 3,0222761731 32,1198888104 0,032814 0,417076 0,404142 0,418288 S
897,0 16,4014727986 3,13578721712 31,9268872897 0,0329156 0,417416 0,40472 0,418845 N
976,0 15,8091481256 3,10446052304 31,5996434554 0,0329747 0,417346 0,404664 0,418797 N
173,0 15,1497954541 3,05160902136 30,4868378039 0,0330629 0,41647 0,403624 0,417737 N
672,0 15,0934838238 2,51973663755 30,4564457033 0,0330629 0,41647 0,403624 0,417737 S
795,0 15,0717102713 3,29940360744 29,9099187121 0,0331659 0,416189 0,403386 0,417492 N
216,0 14,9649225356 2,84258557061 27,1861226943 0,033587 0,414587 0,401996 0,416016 N
41,0 11,9269392294 2,65549281425 0,0 0,0340767 0,413031 0,399763 0,414117 N
303,0 12,1715932366 2,76042200004 162,015073491 0,0340767 0,413031 0,399763 0,414117 S
401,0 12,1523481187 2,98683753251 256,0 0,0340767 0,413031 0,399763 0,414117 S
500,0 12,4596473798 3,4579351893 55,9310609896 0,0340767 0,413031 0,399763 0,414117 S
900,0 11,9817714843 3,28520603232 0,0 0,0340767 0,413031 0,399763 0,414117 S
191,0 11,857407765 2,50313199716 38,2465814367 0,0345759 0,412369 0,399186 0,413501 N
736,0 12,2951218152 2,60332550397 37,1035581343 0,0346251 0,412235 0,399073 0,413379 S
601,0 11,5522252028 3,37664016756 37,3130362909 0,034658 0,412267 0,3991 0,413406 N
876,0 11,8788869376 2,56651804395 35,7290324923 0,0346832 0,412014 0,398878 0,413172 N
314,0 11,6427565653 2,56207889483 26,2171818651 0,0354853 0,408104 0,39561 0,40971 S
491,0 11,6899831419 2,95697510842 25,4589566804 0,0356331 0,407527 0,395124 0,409211 S
995,0 11,9396863822 3,22924202231 23,8154266038 0,0356355 0,405929 0,393711 0,40778 S
582,0 12,3714901117 3,16085297533 24,1426003213 0,0356574 0,406148 0,393907 0,407963 S
659,0 12,3029560013 2,55952081242 24,0133250506 0,0356574 0,406148 0,393907 0,407963 S
76,0 12,2894543802 3,02512060437 24,5548262351 0,0357018 0,406695 0,394391 0,408494 S
176,0 11,7198070612 3,19196195796 24,3134619236 0,035985 0,406429 0,394153 0,408226 S
788,0 12,4930711501 3,24667501695 24,2344726718 0,035985 0,406429 0,394153 0,408226 S
271,0 11,5465242647 3,33722022261 28,5029445185 0,0361695 0,409605 0,396861 0,41102 N
284,0 11,5780943953 2,71114108126 23,1372286768 0,036273 0,405213 0,393055 0,40713 N
874,0 12,3769997888 3,10213538997 23,2462743581 0,036273 0,405213 0,393055 0,40713 S
7,0 8,21780845149 3,27778730089 86,3634576987 0,0365424 0,401675 0,388628 0,402692 N
180,0 8,35708928863 3,37124670137 52,3870273334 0,0365424 0,401675 0,388628 0,402692 S
203,0 7,96480493136 3,41698099067 243,2 0,0365424 0,401675 0,388628 0,402692 S
302,0 8,3295260356 3,17627236622 152,604150713 0,0365424 0,401675 0,388628 0,402692 S
400,0 7,88666575367 2,58281938285 108,997156743 0,0365424 0,401675 0,388628 0,402692 S
501,0 8,09582849801 2,60888558506 112,259712449 0,0365424 0,401675 0,388628 0,402692 S
614,0 8,45786822091 3,39171649098 0,0 0,0365424 0,401675 0,388628 0,402692 S
700,0 8,12084523414 2,54588217168 163,290742948 0,0365424 0,401675 0,388628 0,402692 S
873,0 8,33589727451 3,48717910864 33,7323253391 0,0368686 0,401169 0,388217 0,402252 N
481,0 7,99599623341 3,07294142948 25,2008137363 0,0377584 0,397678 0,385236 0,39909 S
637,0 8,2500258987 3,06470634323 25,3463620051 0,0379481 0,397801 0,385344 0,399202 S
44,0 8,12820765796 3,14923176989 23,6065625915 0,0385804 0,396646 0,384342 0,398139 S
730,0 8,32600799991 2,85317456717 23,6166809311 0,0385804 0,396646 0,384342 0,398139 S
593,0 7,57784862662 3,22712261059 23,8962436496 0,0389676 0,396879 0,384543 0,398355 S
281,0 7,81025456891 3,27245986353 21,685195845 0,0391946 0,395232 0,383059 0,396853 S
399,0 8,06087860809 2,90177489148 22,9779298933 0,0391955 0,396096 0,383841 0,397671 S
175,0 8,32077191657 3,32223106371 21,8755637538 0,0394068 0,395358 0,383172 0,396985 S
882,0 7,86236065007 3,23989418994 21,9118929907 0,0394068 0,395358 0,383172 0,396985 S
99,0 8,20109323543 2,84947584096 17,6860145905 0,0395412 0,388518 0,376588 0,390464 S
490,0 8,33096581255 3,13823515523 17,6854056942 0,0395412 0,388518 0,376588 0,390464 S
993,0 11,6706046857 2,5589538048 18,9568817854 0,0396409 0,398886 0,387114 0,40115 N
864,0 7,81267129694 2,7774067558 17,8026400316 0,0397515 0,388905 0,376947 0,390861 S
715,0 7,81379507074 2,62424907002 19,8981950651 0,0398903 0,392763 0,380737 0,394642 N
391,0 7,76404123655 2,81525398052 18,6312258826 0,0400472 0,390894 0,378917 0,3928 S
557,0 7,50089401639 2,78154099969 18,1676218684 0,0400519 0,389533 0,377574 0,391433 S
681,0 8,12540152772 3,44896016149 19,3046814893 0,0401602 0,391976 0,379959 0,393811 N
