0 23,6165403175 2,69540303852 0 0,0292377 0,425724 0,412724 0,426577 N
1 20,8806065105 2,83866806018 0 0,030087 0,42386 0,410826 0,424771 N
2 17,1618809206 2,65596140692 0 0,0318866 0,421223 0,40784 0,422096 N
3 14,6055937685 3,24210935022 0 0,0322351 0,418567 0,405405 0,419644 N
4 16,3175125499 2,65246124014 0 0,0325675 0,418894 0,405988 0,420157 N
5 11,7648539964 2,85584979467 0 0,0340767 0,413031 0,399763 0,414117 N
6 7,9831044542 2,54774686553 0 0,0365424 0,401675 0,388628 0,402692 N
7 18,0967037678 2 0 0,038238 0,41038 0,396594 0,414668 N
8 9,50558744928 2,81072780661 0 0,0391212 0,410855 0,397602 0,411904 N
9 13,8286043587 2 0 0,0397372 0,406896 0,392824 0,411252 N
10 9,17661450659 3,03582192974 0 0,0419288 0,406245 0,393219 0,407594 N
11 9,37091048983 2 0 0,0425715 0,394656 0,380667 0,39842 N
12 7,7880055187 2 0 0,0488863 0,389568 0,375398 0,392996 N
13 6,76474913481 2 0 0,0519342 0,389407 0,374979 0,392855 N
14 5,05067508004 2,9107025755 0 0,0532846 0,383024 0,369461 0,383779 N
15 5,7406442902 2 0 0,0570464 0,38065 0,366103 0,383668 N
16 4,59028307145 2 0 0,0581956 0,370847 0,355854 0,372697 N
17 2 4,95813861442 0 0,0678334 0,332408 0,319416 0,329963 N
18 2 3,66304838881 0 0,083076 0,330307 0,315432 0,327533 N
19 2,35492574942 3,39983773851 0 0,107766 0,300927 0,288565 0,302558 N
20 2 2 0 0,130446 0,288674 0,274897 0,29182 N
21 37,1680210937 4,02913470221 0,421103062234 0,388474 0,0796014 0,0715557 0,0737911 N
22 44,2744458915 3,06660345481 0,177772531513 0,420316 0,0571285 0,0508797 0,0542069 N
23 2 2,78790539363 1 0,422673 0,0391384 0,0356485 0,0375976 N
24 2,0261623037 2,63491553158 0,966457510597 0,441196 0,0358967 0,0326292 0,0344847 N
25 2 2,89515796966 0,909807336447 0,452317 0,0334806 0,0305298 0,0321478 N
26 2,02503785011 3,30462032726 0,871347872644 0,460282 0,0313939 0,0285593 0,0301892 N
27 2,02513727851 3,30980113609 0,838052371298 0,472741 0,0288693 0,0262626 0,0277464 N
28 2 3,49518428712 0,78970323092 0,483203 0,0264133 0,0241076 0,0254163 N
29 2,24237960592 3,14985091448 0,763073541042 0,494502 0,0247892 0,0225578 0,0238702 N
30 2 3,36431215991 0,734387233109 0,505156 0,0216592 0,0196863 0,0208914 N
31 2,20979700028 2,75516146016 0,689415824019 0,516532 0,0201843 0,0183705 0,0194163 N
32 2 2,63617326662 0,674049273864 0,530366 0,0177617 0,0161534 0,0170947 N
33 2,00636569548 2,81293702399 0,620573402397 0,544854 0,0155038 0,0140995 0,0149364 N
34 2,0219725871 2,79503388526 0,594946439658 0,567288 0,0141571 0,0127951 0,0135701 N
35 2,00078360943 3,17871015507 0,525728438652 0,571877 0,0115625 0,0105159 0,011121 N
36 2,00195241245 2,94859488298 0,5 0,588363 0,0108908 0,00987159 0,0104669 N
37 2 3,0678111982 0,483071040731 0,59779 0,00906811 0,00822819 0,00867055 N
38 2 5,82595208171 0,456916541899 0,611275 0,00897331 0,00823064 0,00851013 N
39 2,26459968878 2,78708768442 0,428434700311 0,614437 0,00742514 0,00670994 0,00714773 N
40 2,00104865637 3,22597690322 0,390144531289 0,628389 0,00650833 0,00588966 0,00621115 N
41 2,00248130651 4,35167770908 0,38446541693 0,631133 0,00581047 0,00528148 0,00556787 N
42 2 3,35300114946 0,37527195105 0,64904 0,0048614 0,00438096 0,00457561 N
43 2 3,68515652281 0,31193055736 0,65892 0,00444588 0,0039587 0,00415919 N
44 2 3,37001662175 0,310920748974 0,667173 0,00401135 0,00358585 0,00381668 N
45 2 4,24860032483 0,290295960924 0,681955 0,00282212 0,002562 0,002621 N
46 2 3,00776846152 0,244028880272 0,698645 0,00224598 0,00200366 0,00205784 N
47 2,42511211594 3,29117230901 0,198283113397 0,708029 0,00164594 0,0014135 0,00148235 N
48 2 3,28183678382 0,150847773862 0,721569 0,00132173 0,00109436 0,00111522 N
49 2,20521157676 5,56409489743 0,161790895768 0,744286 0,00127126 0,00105903 0,00109671 N
50 2,00464193873 2,47291746645 0,153546446329 0,744481 0,00108487 0,000878814 0,000907648 N
51 3,40819206284 3,29931389251 0,145704588048 0,747523 0,00103455 0,000816322 0,000848165 N
52 2 3,62408439102 0,146162992336 0,753901 0,000827484 0,000614913 0,000645663 N
53 2,22704667142 2 0,112761751028 0,759912 0,000615229 0,00043859 0,000453515 N
54 2,00188488663 3,47606755787 0,00011646417386 0,775049 0,000299272 0,000143607 0,000141378 N
55 2,81673525126 2,9239906217 0,00178837395609 0,786418 0,000323289 0,000143135 0,000182232 N
56 2 2 0,0281221731315 0,788927 0,000204143 5,26E-05 5,18E-05 N
 23,3450076518 3,09895901491 0 0,0292377 0,425724 0,412724 0,426577 S
 22,87706669 2,72846291337 0 0,0292377 0,425724 0,412724 0,426577 S
 23,5021815591 3,26022557721 0 0,0292377 0,425724 0,412724 0,426577 S
 23,76285588 2,72260735554 0 0,0292377 0,425724 0,412724 0,426577 S
 22,9395891232 3,16071826465 0 0,0292377 0,425724 0,412724 0,426577 S
 23,8910353035 2,51134150405 0 0,0292377 0,425724 0,412724 0,426577 S
 22,5958926243 2,67857209565 0 0,0292377 0,425724 0,412724 0,426577 S
 24,3646220016 2,88891508316 0 0,0292377 0,425724 0,412724 0,426577 S
 23,2582700109 2,52708985618 0 0,0292377 0,425724 0,412724 0,426577 S
 23,4090216096 2,88007568533 0 0,0292377 0,425724 0,412724 0,426577 S
 23,3327786272 3,43164748439 0 0,0292377 0,425724 0,412724 0,426577 S
 22,7529015745 2,76835926701 0 0,0292377 0,425724 0,412724 0,426577 S
