76 4 2 0,014238862765 1,08964 0,000295689 0,000153393 0,000162248 S
77 4 2 0,000130958404151 1,08964 0,000295689 0,000153393 0,000162248 S
78 4 2 0,0190501819147 1,08964 0,000295689 0,000153393 0,000162248 S
79 4 2 0,05 1,08964 0,000295689 0,000153393 0,000162248 S
80 4 2 0,0433470164827 1,08964 0,000295689 0,000153393 0,000162248 S
81 4 2 0,0206918142422 1,08964 0,000295689 0,000153393 0,000162248 S
82 4 2 0,0147076033786 1,08964 0,000295689 0,000153393 0,000162248 S
83 4 2 0,0475680475852 1,08964 0,000295689 0,000153393 0,000162248 S
84 4 2 0,0399264159219 1,08964 0,000295689 0,000153393 0,000162248 S
85 4 2 0,05 1,08964 0,000295689 0,000153393 0,000162248 S
86 4 2 0,00036511652803 1,08964 0,000295689 0,000153393 0,000162248 S
87 4 2 0,0261017366083 1,08964 0,000295689 0,000153393 0,000162248 S
88 4 2 0,000281429272296 1,08964 0,000295689 0,000153393 0,000162248 S
89 4 2 0,0159327655388 1,08964 0,000295689 0,000153393 0,000162248 S
90 4 2 0,0655692097798 1,08964 0,000295689 0,000153393 0,000162248 S
91 4 2 0,0757378694236 1,08964 0,000295689 0,000153393 0,000162248 S
92 4 2 0,0759066194329 1,08964 0,000295689 0,000153393 0,000162248 S
93 4 2 0,0775080185898 1,08964 0,000295689 0,000153393 0,000162248 S
94 4 2 0,0270634764215 1,08964 0,000295689 0,000153393 0,000162248 S
95 4 2 0,0204565401399 1,08964 0,000295689 0,000153393 0,000162248 S
96 4 2 0,0299415122757 1,08964 0,000295689 0,000153393 0,000162248 S
97 4 2 0,0924116665014 1,08964 0,000295689 0,000153393 0,000162248 S
98 4 2 0,0971665833191 1,08964 0,000295689 0,000153393 0,000162248 S
99 4 2 0,00645233535154 1,08964 0,000295689 0,000153393 0,000162248 S
100 4 2 0,001597591898 1,08964 0,000295689 0,000153393 0,000162248 S
101 4 2 0,0417392391322 1,08964 0,000295689 0,000153393 0,000162248 S
102 4 2 0,010563993206 1,08964 0,000295689 0,000153393 0,000162248 S
103 4 2 0,0562740063906 1,08964 0,000295689 0,000153393 0,000162248 S
104 4 2 0,00151918723463 1,08964 0,000295689 0,000153393 0,000162248 S
